beta,lambda_B_r0,lambda_B_r1
2.347058823529411864e+00,-1.487950878699884072e-01,1.487950878699882129e-01
2.364705882352941213e+00,-1.469837348311917313e-01,1.469837348311918701e-01
2.382352941176470562e+00,-1.452197365541613161e-01,1.452197365541611496e-01
2.399999999999999911e+00,-1.434953692532900671e-01,1.434953692532899838e-01
2.417647058823529260e+00,-1.418169396021370099e-01,1.418169396021370654e-01
2.435294117647058609e+00,-1.401803126162787794e-01,1.401803126162787239e-01
2.452941176470588402e+00,-1.385798630313718194e-01,1.385798630313717916e-01
2.470588235294117752e+00,-1.370205003039049463e-01,1.370205003039049740e-01
2.488235294117647101e+00,-1.355004419034046836e-01,1.355004419034046836e-01
2.505882352941176450e+00,-1.340134488310091854e-01,1.340134488310092964e-01
2.523529411764705799e+00,-1.325605370828354390e-01,1.325605370828354945e-01
2.541176470588235148e+00,-1.311472487390590858e-01,1.311472487390590025e-01
2.558823529411764497e+00,-1.297642177569242883e-01,1.297642177569243438e-01
2.576470588235294290e+00,-1.284105740391531525e-01,1.284105740391530970e-01
2.594117647058823639e+00,-1.270908625207454734e-01,1.270908625207454179e-01
2.611764705882352988e+00,-1.258031650716818217e-01,1.258031650716818495e-01
2.629411764705882337e+00,-1.245424023041134670e-01,1.245424023041133699e-01
2.647058823529411686e+00,-1.233078141745770906e-01,1.233078141745769796e-01
2.664705882352941035e+00,-1.221039196919445624e-01,1.221039196919446179e-01
2.682352941176470384e+00,-1.209284195925347111e-01,1.209284195925346417e-01
2.700000000000000178e+00,-1.197769472525048312e-01,1.197769472525047896e-01
2.717647058823529527e+00,-1.186488373386756640e-01,1.186488373386756778e-01
2.735294117647058876e+00,-1.175453239072998535e-01,1.175453239072998673e-01
2.752941176470588225e+00,-1.164702242656253384e-01,1.164702242656253245e-01
2.770588235294117574e+00,-1.154166037946128404e-01,1.154166037946129098e-01
2.788235294117646923e+00,-1.143838788625898828e-01,1.143838788625899244e-01
2.805882352941176272e+00,-1.133714843761099295e-01,1.133714843761099156e-01
2.823529411764706065e+00,-1.123819339853185939e-01,1.123819339853186633e-01
2.841176470588235414e+00,-1.114160605647066954e-01,1.114160605647067509e-01
2.858823529411764763e+00,-1.104689143029285864e-01,1.104689143029287252e-01
2.876470588235294112e+00,-1.095399982457929133e-01,1.095399982457929550e-01
2.894117647058823461e+00,-1.086288309118844664e-01,1.086288309118844386e-01
2.911764705882352811e+00,-1.077352107083542065e-01,1.077352107083541510e-01
2.929411764705882160e+00,-1.068649557667888245e-01,1.068649557667889216e-01
2.947058823529411509e+00,-1.060110803297318743e-01,1.060110803297319298e-01
2.964705882352940858e+00,-1.051731599382051685e-01,1.051731599382050852e-01
2.982352941176470651e+00,-1.043507830903876998e-01,1.043507830903876582e-01
3.000000000000000000e+00,-1.035435507953735013e-01,1.035435507953734735e-01
3.288135593220339103e+00,-9.234890895692542123e-02,9.234890895692560164e-02
3.576271186440678207e+00,-8.397153313923649831e-02,8.397153313923638729e-02
3.864406779661016866e+00,-7.750380704094368689e-02,7.750380704094382567e-02
4.152542372881356414e+00,-7.238585554679442813e-02,7.238585554679445588e-02
4.440677966101695517e+00,-6.824187763512012950e-02,6.824187763512019889e-02
4.728813559322033733e+00,-6.482262570545446745e-02,6.482262570545437030e-02
5.016949152542372836e+00,-6.194472978809847236e-02,6.194472978809837521e-02
5.305084745762711940e+00,-5.949857465956841229e-02,5.949857465956837066e-02
5.593220338983051043e+00,-5.737966295985297283e-02,5.737966295985297976e-02
5.881355932203390147e+00,-5.554183293319030212e-02,5.554183293319032988e-02
